# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
1.5404970123e+00 8.4849215897e-04 7.3490142822e-04 1.3144508202e+01 1.2592826149e+00 2.7461047891e+02 2.7565705044e+02 3.7784254122e+00 3.0004586480e+00 1.3589174636e-01 1.0000000000e-01 0.0000000000e+00 2.7425608890e+02
1.6003785088e+00 8.6577109385e-04 7.8830718994e-04 1.3163016486e+01 1.3116570101e+00 2.7651908170e+02 2.7759914406e+02 3.9348530998e+00 2.9999100904e+00 1.3762898184e-01 1.0000000000e-01 0.0000000000e+00 2.7614992543e+02
1.6576933549e+00 8.8323287460e-04 8.4362030029e-04 1.3181467089e+01 1.3620813600e+00 2.7842759796e+02 2.7955392022e+02 4.0849850333e+00 2.9990756451e+00 1.3934615403e-01 1.0000000000e-01 0.0000000000e+00 2.7805844169e+02
1.7144821088e+00 9.0087750123e-04 9.0312957764e-04 1.3193269996e+01 1.4121442544e+00 2.8037377969e+02 2.8155161079e+02 4.2357056322e+00 2.9994850873e+00 1.4109930554e-01 1.0000000000e-01 0.0000000000e+00 2.7998985718e+02
1.7777639702e+00 9.1870497372e-04 9.7522735596e-04 1.3212326246e+01 1.4683333343e+00 2.8268161921e+02 2.8390863028e+02 4.4036562209e+00 2.9990848249e+00 1.4312410797e-01 1.0000000000e-01 0.0000000000e+00 2.8228293044e+02
1.8384018414e+00 9.3671529209e-04 1.0511398315e-03 1.3227395320e+01 1.5222678304e+00 2.8498544271e+02 2.8625540425e+02 4.5670976287e+00 3.0001932233e+00 1.4512784506e-01 1.0000000000e-01 0.0000000000e+00 2.8455722144e+02
1.8959747837e+00 9.5490845633e-04 1.1301040649e-03 1.3238953084e+01 1.5739542397e+00 2.8727100306e+02 2.8861351246e+02 4.7213662188e+00 2.9996845522e+00 1.4710913071e-01 1.0000000000e-01 0.0000000000e+00 2.8681324929e+02
1.9510424342e+00 9.7328446644e-04 1.2126922607e-03 1.3248744377e+01 1.6234212486e+00 2.8955481137e+02 2.9096472784e+02 4.8714696911e+00 3.0007428418e+00 1.4906760845e-01 1.0000000000e-01 0.0000000000e+00 2.8909705760e+02
2.0067297944e+00 9.9184332243e-04 1.3042449951e-03 1.3257223435e+01 1.6741189949e+00 2.9201448803e+02 2.9349239558e+02 5.0206488897e+00 2.9989797051e+00 1.5114358596e-01 1.0000000000e-01 0.0000000000e+00 2.9152720176e+02
2.0659991975e+00 1.0105850243e-03 1.4118194580e-03 1.3262400275e+01 1.7278090245e+00 2.9473664056e+02 2.9628717529e+02 5.1847250111e+00 3.0007512044e+00 1.5342001187e-01 1.0000000000e-01 0.0000000000e+00 2.9421982179e+02
