# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
9.3510723377e-01 7.9775242956e-04 9.9594116211e-03 1.1874774679e+01 7.9531106629e-01 1.8209467351e+01 2.4566231439e+01 1.9880072958e-01 2.4996600451e-01 1.1619941701e+00 1.0000000000e+00 0.0000000000e+00 1.4813229710e+01
9.6047619274e-01 8.1448282683e-04 1.0478210449e-02 1.1860110271e+01 8.1857568273e-01 1.7825646677e+01 2.4564501019e+01 2.0468015961e-01 2.5004427071e-01 1.1660853928e+00 1.0000000000e+00 0.0000000000e+00 1.4503240290e+01
9.8844527760e-01 8.3139606996e-04 1.1067199707e-02 1.1841883181e+01 8.4447440497e-01 1.7408730820e+01 2.4569706699e+01 2.1108054262e-01 2.4995493217e-01 1.1706977880e+00 1.0000000000e+00 0.0000000000e+00 1.4189688187e+01
1.0162154468e+00 8.4849215897e-04 1.1679077148e-02 1.1824218477e+01 8.7019642430e-01 1.7021909851e+01 2.4578229018e+01 2.1759890106e-01 2.5005722270e-01 1.1754074912e+00 1.0000000000e+00 0.0000000000e+00 1.3876698471e+01
1.0424922088e+00 8.6577109385e-04 1.2277221680e-02 1.1808630276e+01 8.9474762976e-01 1.6666697887e+01 2.4585907756e+01 2.2371695517e-01 2.5003358236e-01 1.1799754979e+00 1.0000000000e+00 0.0000000000e+00 1.3610084010e+01
1.0673521679e+00 8.8323287460e-04 1.2863159180e-02 1.1793453051e+01 9.1814328238e-01 1.6341429399e+01 2.4592757335e+01 2.2948609572e-01 2.4994584193e-01 1.1844216232e+00 1.0000000000e+00 0.0000000000e+00 1.3358646775e+01
1.0915573954e+00 9.0087750123e-04 1.3461303711e-02 1.1780806565e+01 9.4093184819e-01 1.6033472320e+01 2.4600551436e+01 2.3523565472e-01 2.5000286171e-01 1.1889173276e+00 1.0000000000e+00 0.0000000000e+00 1.3124520950e+01
1.1182969472e+00 9.1870497372e-04 1.4144897461e-02 1.1762118029e+01 9.6636070993e-01 1.5704678102e+01 2.4602202545e+01 2.4150079251e-01 2.4990750351e-01 1.1940239301e+00 1.0000000000e+00 0.0000000000e+00 1.2869557984e+01
1.1433966734e+00 9.3671529209e-04 1.4822387695e-02 1.1746537039e+01 9.9020892889e-01 1.5393772099e+01 2.4605288460e+01 2.4756232667e-01 2.5001019426e-01 1.1990187569e+00 1.0000000000e+00 0.0000000000e+00 1.2632483235e+01
1.1670893761e+00 9.5490845633e-04 1.5487670898e-02 1.1734791813e+01 1.0128922158e+00 1.5131015033e+01 2.4607711048e+01 2.5325915802e-01 2.5003564453e-01 1.2038970870e+00 1.0000000000e+00 0.0000000000e+00 1.2428791172e+01
1.1894836623e+00 9.7328446644e-04 1.6140747070e-02 1.1720270705e+01 1.0345123372e+00 1.4865467665e+01 2.4608893502e+01 2.5859803603e-01 2.4997095418e-01 1.2086694629e+00 1.0000000000e+00 0.0000000000e+00 1.2237075057e+01
1.2119963630e+00 9.9184332243e-04 1.6836547852e-02 1.1702735783e+01 1.0562074748e+00 1.4626424563e+01 2.4613616106e+01 2.6414100307e-01 2.5008439097e-01 1.2137085733e+00 1.0000000000e+00 0.0000000000e+00 1.2042330707e+01
1.2355607545e+00 1.0105850243e-03 1.7593383789e-02 1.1687846961e+01 1.0791531718e+00 1.4360509481e+01 2.4612354342e+01 2.6985341304e-01 2.5006034368e-01 1.2191648157e+00 1.0000000000e+00 0.0000000000e+00 1.1850246877e+01
